Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-01 00:00:00-04:00,106.94399033350908,108.22123428683034,105.63957906431814,107.28821563720703,2088100,0.0,0.0
2020-06-02 00:00:00-04:00,108.71039568863391,111.77214747852605,108.43863958594368,111.06558990478516,2221600,0.0,0.0
2020-06-03 00:00:00-04:00,111.73592862885378,112.206971685142,107.8136199013102,108.24842834472656,1526200,0.0,0.0
2020-06-04 00:00:00-04:00,107.44222130159449,110.0782253157992,107.02553364306557,108.27559661865234,994900,0.0,0.0
2020-06-05 00:00:00-04:00,109.10896420447308,109.29013724602552,105.68487319614805,106.07438659667969,1527900,0.0,0.0
2020-06-08 00:00:00-04:00,105.62145453876943,107.99476932960096,105.1504184966194,105.80262756347656,1529600,0.0,0.0
2020-06-09 00:00:00-04:00,105.99285762065473,106.39142446632566,104.84243133596966,105.74827575683594,1657400,0.0,0.0
2020-06-10 00:00:00-04:00,106.23744805073443,106.23744805073443,102.63219060063615,103.54708862304688,1478600,0.0,0.0
2020-06-11 00:00:00-04:00,101.83504274940456,101.96186043364179,99.76065789860209,100.48533630371094,1587500,0.0,0.0
2020-06-12 00:00:00-04:00,102.54157228340598,102.84956294001313,97.84929851979352,100.1863784790039,1263000,0.0,0.0
2020-06-15 00:00:00-04:00,98.73704200293595,102.22454164560139,97.71344029400079,102.1611328125,1161700,0.0,0.0
2020-06-16 00:00:00-04:00,104.42575092156329,104.57974282506245,101.07412909801178,103.14851379394531,820200,0.0,0.0
2020-06-17 00:00:00-04:00,104.02719202996157,104.15401663393206,102.30609279425808,102.9945297241211,1014600,0.0,0.0
2020-06-18 00:00:00-04:00,102.18831796042325,102.49630869057724,100.01429664400902,100.63026428222656,825800,0.0,0.0
2020-06-19 00:00:00-04:00,102.07055247141662,102.07055247141662,98.04860091886628,98.07577514648438,2434000,0.0,0.0
2020-06-22 00:00:00-04:00,98.4743457728558,99.62477205298245,97.16087413222195,99.56136322021484,1118200,0.0,0.0
2020-06-23 00:00:00-04:00,99.55231475574033,100.01429739893582,96.10104241334369,96.88912963867188,1578600,0.0,0.0
2020-06-24 00:00:00-04:00,96.40904779600207,97.82216325928181,93.71868804010693,94.70606231689453,1652200,0.0,0.0
2020-06-25 00:00:00-04:00,94.56108878302668,98.40186679605455,93.53748718105533,98.10294342041016,1746400,0.0,0.0
2020-06-26 00:00:00-04:00,97.94895232859325,100.36756212514894,97.40544707166458,99.84217071533203,1962700,0.0,0.0
2020-06-29 00:00:00-04:00,100.24075359868819,100.4581543390658,98.62834461700642,100.02334594726562,1478300,0.0,0.0
2020-06-30 00:00:00-04:00,100.05956347306149,103.7191753813442,99.987094268293,103.23001861572266,1152400,0.0,0.0
2020-07-01 00:00:00-04:00,103.22098685666205,104.1449521960315,101.89845460264591,103.31157684326172,1159300,0.0,0.0
